<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,12.09.2018,10:01,104910,105080,104750,104840,174
SPFB.RTS-12.18,1,12.09.2018,10:02,104750,104800,104750,104760,24
SPFB.RTS-12.18,1,12.09.2018,10:03,104840,104930,104840,104890,42
SPFB.RTS-12.18,1,12.09.2018,10:04,104860,104870,104800,104800,33
SPFB.RTS-12.18,1,12.09.2018,10:05,104830,104860,104820,104860,33
SPFB.RTS-12.18,1,12.09.2018,10:06,104880,104880,104760,104760,19
SPFB.RTS-12.18,1,12.09.2018,10:07,104760,104800,104760,104790,14
SPFB.RTS-12.18,1,12.09.2018,10:08,104830,104890,104830,104890,57
SPFB.RTS-12.18,1,12.09.2018,10:09,104850,104850,104850,104850,1
SPFB.RTS-12.18,1,12.09.2018,10:10,104880,104890,104800,104820,119
SPFB.RTS-12.18,1,12.09.2018,10:11,104870,104880,104870,104880,5
SPFB.RTS-12.18,1,12.09.2018,10:12,104890,104890,104890,104890,141
SPFB.RTS-12.18,1,12.09.2018,10:13,104880,104900,104880,104900,12
SPFB.RTS-12.18,1,12.09.2018,10:14,104950,105050,104950,105030,69
SPFB.RTS-12.18,1,12.09.2018,10:15,105030,105030,105030,105030,3
SPFB.RTS-12.18,1,12.09.2018,10:16,105050,105140,105050,105120,26
SPFB.RTS-12.18,1,12.09.2018,10:17,105100,105260,105100,105260,42
SPFB.RTS-12.18,1,12.09.2018,10:18,105280,105290,105230,105290,72
SPFB.RTS-12.18,1,12.09.2018,10:19,105300,105350,105300,105310,28
SPFB.RTS-12.18,1,12.09.2018,10:20,105280,105340,105280,105340,3
SPFB.RTS-12.18,1,12.09.2018,10:21,105330,105340,105290,105320,13
SPFB.RTS-12.18,1,12.09.2018,10:22,105260,105270,105240,105240,7
SPFB.RTS-12.18,1,12.09.2018,10:23,105250,105270,105230,105230,25
SPFB.RTS-12.18,1,12.09.2018,10:24,105220,105240,105220,105220,12
SPFB.RTS-12.18,1,12.09.2018,10:25,105200,105200,105180,105180,3
SPFB.RTS-12.18,1,12.09.2018,10:26,105250,105270,105240,105270,5
SPFB.RTS-12.18,1,12.09.2018,10:27,105270,105270,105200,105210,5
SPFB.RTS-12.18,1,12.09.2018,10:28,105220,105220,105170,105170,16
SPFB.RTS-12.18,1,12.09.2018,10:29,105190,105210,105180,105210,5
SPFB.RTS-12.18,1,12.09.2018,10:30,105220,105240,105220,105240,6
SPFB.RTS-12.18,1,12.09.2018,10:31,105280,105300,105270,105270,14
SPFB.RTS-12.18,1,12.09.2018,10:32,105270,105270,105170,105220,12
SPFB.RTS-12.18,1,12.09.2018,10:33,105240,105240,105150,105150,26
SPFB.RTS-12.18,1,12.09.2018,10:34,105150,105180,105150,105160,23
SPFB.RTS-12.18,1,12.09.2018,10:35,105160,105160,105160,105160,1
SPFB.RTS-12.18,1,12.09.2018,10:36,105200,105200,105200,105200,30
SPFB.RTS-12.18,1,12.09.2018,10:37,105190,105190,105120,105120,34
SPFB.RTS-12.18,1,12.09.2018,10:38,105140,105150,105130,105140,32
SPFB.RTS-12.18,1,12.09.2018,10:39,105180,105190,105170,105190,6
SPFB.RTS-12.18,1,12.09.2018,10:40,105180,105180,105160,105160,27
SPFB.RTS-12.18,1,12.09.2018,10:41,105190,105290,105190,105290,34
SPFB.RTS-12.18,1,12.09.2018,10:42,105300,105300,105230,105230,3
SPFB.RTS-12.18,1,12.09.2018,10:43,105230,105230,105230,105230,1
SPFB.RTS-12.18,1,12.09.2018,10:44,105230,105230,105190,105190,2
SPFB.RTS-12.18,1,12.09.2018,10:45,105190,105190,105190,105190,3
SPFB.RTS-12.18,1,12.09.2018,10:46,105210,105240,105210,105240,54
SPFB.RTS-12.18,1,12.09.2018,10:47,105260,105260,105240,105240,10
SPFB.RTS-12.18,1,12.09.2018,10:48,105270,105340,105270,105340,61
SPFB.RTS-12.18,1,12.09.2018,10:49,105350,105390,105330,105330,50
SPFB.RTS-12.18,1,12.09.2018,10:50,105290,105290,105270,105270,46
SPFB.RTS-12.18,1,12.09.2018,10:51,105270,105280,105260,105260,6
SPFB.RTS-12.18,1,12.09.2018,10:52,105300,105300,105280,105280,2
SPFB.RTS-12.18,1,12.09.2018,10:53,105300,105300,105300,105300,1
SPFB.RTS-12.18,1,12.09.2018,10:54,105290,105290,105290,105290,3
SPFB.RTS-12.18,1,12.09.2018,10:55,105320,105340,105260,105260,33
SPFB.RTS-12.18,1,12.09.2018,10:56,105240,105240,105240,105240,18
